Age,Gender,CDate,Cloc,Ccountry-iso_alpha,CHist,Mem,3Wrds,ColorHex,ColorRes
,,1/1/20,,,,,,,
,,1/2/20,,,,,,,
,,1/3/20,,,,,,,
,,1/4/20,,,,,,,
,,1/5/20,,,,,,,
,,1/6/20,,,,,,,
,,1/7/20,,,,,,,
,,1/8/20,,,,,,,
,,1/9/20,,,,,,,
,,1/10/20,,,,,,,
,,1/11/20,,,,,,,
,,1/12/20,,,,,,,
,,1/13/20,,,,,,,
,,1/14/20,,,,,,,
,,1/15/20,,,,,,,
,,1/16/20,,,,,,,
,,1/17/20,,,,,,,
,,1/18/20,,,,,,,
,,1/19/20,,,,,,,
,,1/20/20,,,Chinese authorities publicly confirm human-to-human transmission of severe acute respiratory syndrome coronavirus 2,,,,
,,1/21/20,,,,,,,
,,1/22/20,,,,,,,
,,1/23/20,,,"The Chinese city of Wuhan, the epicentre of the initial COVID-19 outbreak, is quarantined with all scheduled public transport services and intercity flights halted",,,,
25-40,Female,1/24/20,"Brooklyn, NY, USA",USA,,"A lot of things came to my mind. It was hard to choose something specific, nothing special happened during the time of pandemic with me. It’s more about adaptation to the new “isolated” lifestyle. And all the simple things such as going outside with a friend, 1-day trip somewhere to the upstate, meeting new person… all these getting more special than it was before. 
One thing I wanted to describe in 2020 is the Chinese New Year. It was the night between Jan 24 and Jan 25. Like a month before Pratt was closed and we started to take classes/work from home. Some people already started wearing masks. Soo it was a party somewhere in Ridgewood organized by one of the students at Pratt. I wasn’t sure I want to go because I knew nothing about Chinese traditions and had no idea what we all are going to do there. They also asked to wear everything red (“good-luck” tradition) and I had no red clothes at all. This day I got a text message from Martha. She asked if we can go together. She also had nothing red and made for us red bracelets; we decided to go and leave at any point if something goes weird. It turned out to be a super fun party. We cooked dumplings all together. I learned a lot about Chinese cuisine and met a lot of Pratt students I haven’t met before. It felt unusual to met the same people but in another environment. I also lost my phone and keys and couldn't find them for a couple of hours 🤦‍♀️ 
it was so adequate and nice, I couldn’t even expect 😂 this is probably not the most memorable pandemic event, but it’s what I remember","Chinese, friendly, funny",#CC0000,Red is the official color of Chinese New Year:)
,,1/25/20,,,,,,,
,,1/26/20,,,,,,,
,,1/27/20,,,,,,,
,,1/28/20,,,,,,,
,,1/29/20,,,,,,,
,,1/30/20,,,"The World Health Organization (WHO) declares the outbreak of the disease as a Public Health Emergency of International Concern, the sixth time that this measure has been invoked since 2009.",,,,
,,1/31/20,,,,,,,
,,2/1/20,,,,,,,
,,2/2/20,,,,,,,
,,2/3/20,,,,,,,
,,2/4/20,,,,,,,
,,2/5/20,,,,,,,
,,2/6/20,,,,,,,
,,2/7/20,,,,,,,
,,2/8/20,,,,,,,
,,2/9/20,,,,,,,
,,2/10/20,,,,,,,
,,2/11/20,,,The World Health Organization (WHO) names the disease COVID-19.,,,,
,,2/12/20,,,,,,,
,,2/13/20,,,,,,,
,,2/14/20,,,,,,,
,,2/15/20,,,,,,,
,,2/16/20,,,,,,,
,,2/17/20,,,,,,,
,,2/18/20,,,,,,,
,,2/19/20,,,,,,,
,,2/20/20,,,,,,,
,,2/21/20,,,,,,,
,,2/22/20,,,,,,,
,,2/23/20,,,,,,,
,,2/24/20,,,,,,,
,,2/25/20,,,,,,,
,,2/26/20,,,,,,,
,,2/27/20,,,"2020 stock market crash: Triggered by fears of the spreading of COVID-19, the Dow Jones Industrial Average (DJIA) plunges by 1,190.95 points, or 4.4%, to close at 25,766.64, its largest one-day point decline at the time. This follows several days of large falls, marking the worst week for the index since 2008.",,,,
,,2/28/20,,,,,,,
,,2/29/20,,,,,,,
,,3/1/20,,,,,,,
,,3/2/20,,,,,,,
,,3/3/20,,,,,,,
,,3/4/20,,,,,,,
,,3/5/20,,,,,,,
,,3/6/20,,,,,,,
25-40,Female,3/7/20,"Brooklyn, NY, USA",USA,,"It was the last time we got together with about 10 friends, aware that something was going on but not knowing we would be under lock down or our lives would change drastically for longer than a year. ","Happy, fun, unaware",#00CCCC,It's joyful but has some grey tones in it so not exactly carefree
25-40,Male,3/8/20,"Newark, NJ, USA",USA,,"I hope this doesn’t feel like too ‘silly’ of an answer, relating to such a serious and difficult topic. But, truly, the one date/event that sticks out to me the most is the last public event I attended, on March 8, 2020. Already having a sense that a lockdown seemed inevitable, but having no idea how long it would be, my partner, best friend and I booked last minute front row seats for Celine Dion’s concert in Newark, even though we had just seen her perform a week prior in Brooklyn. It was a transcendent experience, seeing a personal icon of mine just feet away. Never in my life have I experienced a live performance so vocally breath taking, and yet so effortless. 

The mood of the crowd was distinctly cautious, and I specifically remember a moment when Celine adjusted her heavily made up eyelashes, and a guy sitting a few rows behind us screamed out ‘Celine, don’t touch your face!’ Even now, over a year later, this concert symbolizes the last moment of unmasked, non-paranoid normalcy.  I vividly remember every costume, every belted note with a level of clarity that I don’t think I’ve been able to capture since. ","Exhilarating, overindulgent, inspiring ",#CC0000,"The concert design largely used this color, so it is mostly a visual correlation. Celine’s most iconic gown of the evening was this shade of red."
,,3/9/20,,,Italy becomes the first country to implement a nationwide quarantine in response to the COVID-19 outbreak.,,,,
41-55,Female,3/10/20,"Quezon City, PHL",PHL,,My mother in law passed away,"scared, panicked, confused",#FF6666,"It is like a fading red color. There is still that brightness but fading, a color that resonates with the feeling of lost, confusion, troubled and frightening. "
25-40,Female,3/11/20,"Surrey, BC, CAN",CAN,The World Health Organization declares the COVID-19 outbreak a pandemic.,I recall having a team meeting at work with lots of new colleagues. We enjoyed lunch together and got to know each other. We participated in an exit room game (and escaped!) and then went for drinks and appies. This was also the day that the WHO announced a pandemic.,"Fun, overwhelming, tiring",NONE,NONE
