date,cases
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,557
1/23/20,655
1/24/20,941
1/25/20,1433
1/26/20,2118
1/27/20,2927
1/28/20,5578
1/29/20,6167
1/30/20,8235
1/31/20,9927
2/1/20,12038
2/2/20,16787
2/3/20,19887
2/4/20,23898
2/5/20,27643
2/6/20,30803
2/7/20,34396
2/8/20,37130
2/9/20,40160
2/10/20,42769
2/11/20,44811
2/12/20,45229
2/13/20,60382
2/14/20,66909
2/15/20,69052
2/16/20,71235
2/17/20,73270
2/18/20,75152
2/19/20,75652
2/20/20,76212
2/21/20,76841
2/22/20,78602
2/23/20,78982
2/24/20,79546
2/25/20,80399
2/26/20,81376
2/27/20,82736
2/28/20,84122
2/29/20,86013
3/1/20,88394
3/2/20,90377
3/3/20,92971
3/4/20,95279
3/5/20,98090
3/6/20,102003
3/7/20,106098
3/8/20,110047
3/9/20,114219
3/10/20,119041
3/11/20,126702
3/12/20,132492
3/13/20,146876
3/14/20,157950
3/15/20,169219
3/16/20,184027
3/17/20,199970
3/18/20,219535
3/19/20,246584
3/20/20,277359
3/21/20,309350
3/22/20,344205
3/23/20,387040
3/24/20,428219
3/25/20,479220
3/26/20,542097
3/27/20,607138
3/28/20,674418
3/29/20,733655
3/30/20,798949
3/31/20,875794
4/1/20,958602
4/2/20,1041662
4/3/20,1125221
4/4/20,1183584
4/5/20,1256176
4/6/20,1329331
4/7/20,1399162
4/8/20,1482540
4/9/20,1569554
4/10/20,1655088
4/11/20,1729371
4/12/20,1849067
4/13/20,1919809
4/14/20,2003820
4/15/20,2080934
4/16/20,2176465
4/17/20,2264462
4/18/20,2341702
4/19/20,2418307
4/20/20,2494325
4/21/20,2570074
4/22/20,2651321
4/23/20,2735570
4/24/20,2819666
4/25/20,2901925
4/26/20,2973513
4/27/20,3043705
4/28/20,3119245
4/29/20,3196355
4/30/20,3279850
5/1/20,3368226
5/2/20,3447426
5/3/20,3523799
5/4/20,3601488
5/5/20,3681990
5/6/20,3772018
5/7/20,3860724
5/8/20,3951003
5/9/20,4036226
5/10/20,4111202
5/11/20,4187833
5/12/20,4272324
5/13/20,4357304
5/14/20,4453535
5/15/20,4549267
5/16/20,4643706
5/17/20,4721728
5/18/20,4810895
5/19/20,4907670
5/20/20,5009548
5/21/20,5116192
5/22/20,5222614
5/23/20,5327418
5/24/20,5421629
5/25/20,5508346
5/26/20,5602313
5/27/20,5705075
5/28/20,5824358
5/29/20,5945261
5/30/20,6081776
5/31/20,6188184
6/1/20,6284179
6/2/20,6406143
6/3/20,6520392
6/4/20,6651336
6/5/20,6782559
6/6/20,6916296
6/7/20,7028659
6/8/20,7131156
6/9/20,7256216
6/10/20,7391321
6/11/20,7529341
6/12/20,7658106
6/13/20,7793395
6/14/20,7925679
6/15/20,8045337
6/16/20,8187421
6/17/20,8331167
6/18/20,8472230
6/19/20,8652145
6/20/20,8809593
6/21/20,8937295
6/22/20,9076656
