date,cases,deaths
1/1/20,0,0
1/2/20,0,0
1/3/20,0,0
1/4/20,0,0
1/5/20,0,0
1/6/20,0,0
1/7/20,0,0
1/8/20,0,0
1/9/20,0,0
1/10/20,0,0
1/11/20,0,0
1/12/20,0,0
1/13/20,0,0
1/14/20,0,0
1/15/20,0,0
1/16/20,0,0
1/17/20,0,0
1/18/20,0,0
1/19/20,0,0
1/20/20,0,0
1/21/20,0,0
1/22/20,557,17
1/23/20,655,18
1/24/20,941,26
1/25/20,1433,42
1/26/20,2118,56
1/27/20,2927,82
1/28/20,5578,131
1/29/20,6167,133
1/30/20,8235,171
1/31/20,9927,213
2/1/20,12038,259
2/2/20,16787,362
2/3/20,19887,426
2/4/20,23898,492
2/5/20,27643,564
2/6/20,30803,634
2/7/20,34396,719
2/8/20,37130,806
2/9/20,40160,906
2/10/20,42769,1013
2/11/20,44811,1113
2/12/20,45229,1118
2/13/20,60382,1371
2/14/20,66909,1523
2/15/20,69052,1666
2/16/20,71235,1770
2/17/20,73270,1868
2/18/20,75152,2008
2/19/20,75652,2123
2/20/20,76212,2248
2/21/20,76841,2252
2/22/20,78602,2459
2/23/20,78982,2470
2/24/20,79546,2630
2/25/20,80399,2710
2/26/20,81376,2771
2/27/20,82736,2814
2/28/20,84122,2873
2/29/20,86013,2942
3/1/20,88394,2996
3/2/20,90377,3085
3/3/20,92971,3160
3/4/20,95279,3255
3/5/20,98090,3349
3/6/20,102003,3460
3/7/20,106098,3564
3/8/20,110047,3803
3/9/20,114219,3993
3/10/20,119041,4267
3/11/20,126702,4611
3/11/20,126702,4611
3/12/20,132492,4917
3/13/20,146876,5414
3/14/20,157950,5834
3/15/20,169219,6475
3/16/20,184027,7153
3/17/20,199970,7967
3/18/20,219535,8874
3/19/20,246584,9985
3/20/20,277359,11470
3/21/20,309350,13192
3/22/20,344205,14877
3/23/20,387040,16826
3/24/20,428219,19116
3/25/20,479220,21926
3/26/20,542097,24961
3/27/20,607138,28449
3/28/20,674418,32179
3/29/20,733655,35698
3/30/20,798949,39779
3/31/20,875794,44527
4/1/20,958602,50526
4/2/20,1041662,56413
