date,deaths
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,17
1/23/20,18
1/24/20,26
1/25/20,42
1/26/20,56
1/27/20,82
1/28/20,131
1/29/20,133
1/30/20,171
1/31/20,213
2/1/20,259
2/2/20,362
2/3/20,426
2/4/20,492
2/5/20,564
2/6/20,634
2/7/20,719
2/8/20,806
2/9/20,906
2/10/20,1013
2/11/20,1113
2/12/20,1118
2/13/20,1371
2/14/20,1523
2/15/20,1666
2/16/20,1770
2/17/20,1868
2/18/20,2008
2/19/20,2123
2/20/20,2248
2/21/20,2252
2/22/20,2459
2/23/20,2470
2/24/20,2630
2/25/20,2710
2/26/20,2771
2/27/20,2814
2/28/20,2873
2/29/20,2942
3/1/20,2996
3/2/20,3085
3/3/20,3160
3/4/20,3255
3/5/20,3349
3/6/20,3460
3/7/20,3564
3/8/20,3803
3/9/20,3993
3/10/20,4267
3/11/20,4611
3/12/20,4917
3/13/20,5414
3/14/20,5834
3/15/20,6475
3/16/20,7153
3/17/20,7967
3/18/20,8874
3/19/20,9985
3/20/20,11470
3/21/20,13192
3/22/20,14877
3/23/20,16826
3/24/20,19116
3/25/20,21926
3/26/20,24961
3/27/20,28449
3/28/20,32179
3/29/20,35698
3/30/20,39779
3/31/20,44527
4/1/20,50526
4/2/20,56413
4/3/20,62573
4/4/20,68489
4/5/20,73675
4/6/20,79613
4/7/20,87874
4/8/20,94680
4/9/20,102464
4/10/20,109841
4/11/20,116014
4/12/20,121872
4/13/20,127842
4/14/20,134811
4/15/20,143277
4/16/20,150536
4/17/20,158929
4/18/20,165081
4/19/20,170313
4/20/20,176187
4/21/20,183462
4/22/20,190318
4/23/20,197153
4/24/20,203921
4/25/20,209548
4/26/20,213527
4/27/20,218273
4/28/20,224854
4/29/20,231576
4/30/20,237419
5/1/20,242566
5/2/20,248062
5/3/20,251572
5/4/20,255784
5/5/20,261611
5/6/20,268114
5/7/20,273422
5/8/20,278972
5/9/20,283196
5/10/20,286753
5/11/20,290240
5/12/20,295726
5/13/20,300869
5/14/20,306030
5/15/20,311253
5/16/20,315430
5/17/20,318614
5/18/20,322377
5/19/20,327025
5/20/20,331803
5/21/20,336465
5/22/20,341712
5/23/20,345635
5/24/20,348649
5/25/20,349861
5/26/20,354103
5/27/20,359158
5/28/20,363716
5/29/20,368325
5/30/20,372349
5/31/20,375039
6/1/20,378112
6/2/20,382789
6/3/20,388222
6/4/20,393255
6/5/20,397837
6/6/20,401608
6/7/20,404346
6/8/20,408048
6/9/20,412822
6/10/20,417863
6/11/20,422503
6/12/20,426712
6/13/20,430826
6/14/20,434224
6/15/20,437639
6/16/20,444349
6/17/20,449496
6/18/20,454407
6/19/20,460472
6/20/20,464584
6/21/20,468595
6/22/20,472158
6/23/20,477375
6/24/20,482561
6/25/20,487246
6/26/20,491991
6/27/20,496453
6/28/20,499620
6/29/20,503296
6/30/20,508185
7/1/20,513131
7/2/20,518209
